Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Child (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),,
Down syndrome,Change: presentation/management,"A 10-year-old boy with Down syndrome, John, presents to the pediatrician's office for his annual checkup. He was born with a heart defect that has been monitored closely by his cardiologist, and he has also had some developmental delays. His mother reports that John has been having more difficulty with his speech and language skills lately, and she is concerned about his progress in school. On examination, the pediatrician notes that John's heart sounds are normal, but his speech is indeed slower and less clear than it was a year ago. The pediatrician refers John to a speech therapist for further evaluation and intervention.

The most important clinical features of this scenario include:

* The patient has Down syndrome, which increases the risk of developmental delays and other health problems.
* The patient has a history of a heart defect, which requires ongoing monitoring and management.
* The patient is experiencing difficulty with speech and language skills, which may be related to the Down syndrome or other factors.
* The pediatrician has referred the patient to a speech therapist for further evaluation and intervention, highlighting the importance of multidisciplinary care in managing patients with complex needs",0,0,0,0,0,0,"A 35-year-old woman with Down syndrome, named Sarah, presents to the clinic for her annual checkup. She has a history of congenital heart disease and has undergone several surgeries in the past. Her mother reports that Sarah has been experiencing increasing shortness of breath over the past year, especially when walking upstairs or doing physical activities. On examination, Sarah's vital signs are normal, but her heart sounds are abnormal, with a machinery murmur and an irregular rhythm. She also has a significant delay in her speech and language development.
The most important clinical features of this scenario are:

* Congenital heart disease
* History of surgeries
* Shortness of breath
* Abnormal heart sounds
* Speech and language delay",1,0,0,0,1,1,"Patient: John Smith, 8 years old male. He was born at term and had a birth weight of 3200 grams. His mother noticed that he had difficulty feeding and had a weak cry. On physical examination, he has upslanting palpebral fissures, epicanthus, flat neck, round face, small nose, bilateral single palmar crease, short stature, and joint laxity. He also has conductive hearing loss and mild intellectual disability. His heart sounds normal, but an echocardiogram revealed an atrioventricular canal defect. He had surgery to repair the defect when he was 2 years old. He also has Hirschsprung disease and requires regular bowel management. John's developmental delays have been addressed through early intervention services, including speech and language therapy, physical therapy, and occupational therapy. His thyroid function is normal, but he has a positive family history of hypothyroidism.
The most important clinical features for this patient with Down syndrome include:
* Upslanting palpebral fissures
* Epicanthus
* Flat neck
* Round face
* Small nose
* Bilateral single palmar crease
* Short stature
* Joint laxity
* Conductive hearing loss",1,1,0,1,2,2,"Meet Jane, a 35-year-old woman with Down syndrome. She has short stature and a flat facial profile, with upslanting palpebral fissures and epicanthal folds. Her ears are small, and she has conductive hearing loss. Her mouth protrudes slightly, and her tongue is thick. Jane has a history of heart defects, specifically an atrioventricular canal, which was repaired surgically when she was a child. She also has joint laxity and short, broad hands with a single transverse palmar crease. Jane's intellectual disability is mild, and she has poor muscle tone and a weak Moro reflex. Additionally, she has hypothyroidism and is at increased risk of developing Alzheimer's disease, seizures, sleep apnea, sensory deficiencies, leukemia, autoimmune, and endocrine pathologies. Despite these challenges, Jane leads an active life, enjoying her work as a part-time librarian and spending time with her friends and family.",0,1,1,0,1,2,,
Romano-Ward syndrome,No change,"A 10-year-old boy is brought to the emergency room by his parents due to recurrent episodes of uncontrolled crying and fainting"" spells. The patient has a history of similar events over the past year, which have increased in frequency recently. During these episodes, he becomes pale, sweaty, and has difficulty breathing. He also experiences headaches and blurred vision. Physical examination reveals a heart rate of 120 beats per minute, blood pressure of 80/60 mmHg, and a regular rhythm. There is no evidence of any neurological deficits or focal signs. The patient's electroencephalogram (EEG) shows occasional generalized slowing of the background activity, without any specific epileptiform discharges.""",0,0,1,0,0,1,"A 35-year-old man presents to the emergency department with a complaint of palpitations and shortness of breath. He has a history of hypertension and smoking. On examination, his blood pressure is elevated, and he has a rapid irregular heartbeat. A 12-lead ECG shows atrial fibrillation with a rapid ventricular response. The patient is diaphoretic and appears uncomfortable. He is given oxygen therapy and cardioversion is attempted.",0,0,1,0,0,1,"A 10 year old boy is brought to the emergency room after experiencing recurrent episodes of syncope during physical activity over the past year. He has a history of hearing loss and wears hearing aids. On examination, his vital signs are normal, but he appears anxious. His EKG shows a prolonged QT interval and biphasic T-waves in the precordial leads. The patient is diagnosed with Romano-Ward syndrome and is referred for genetic testing to confirm the diagnosis. The most important clinical features in this case are: syncope, hearing loss, prolonged QT interval on EKG, and biphasic T-waves.",0,1,1,0,1,2,"A 35-year-old man presents to the emergency department after experiencing recurrent episodes of syncope during exercise over the past year. He has a history of sudden cardiac arrest at age 25, which was successfully resuscitated. On physical examination, his heart rate is 48 beats per minute, and his blood pressure is 100/60 mmHg. His ECG shows a prolonged QT interval (500 ms) and biphasic T-waves in the precordial leads. During stress testing, he develops polymorphic ventricular tachycardia (TdP) that degenerates into ventricular fibrillation, requiring cardioversion. Genetic testing reveals a mutation in the KCNQ1 gene, consistent with Romano-Ward syndrome. The patient is referred for implantable cardioverter-defibrillator (ICD) therapy and begins taking quinidine to prevent future episodes of TdP.
The most important clinical features of this patient's presentation are:
Prolonged QT interval on EKG
History of sudden cardiac arrest
Recurrent syncope during exercise
Development of TdP during stress testing
Mutation in the KCNQ1 gene
These features are consistent with Romano-Ward syndrome",1,1,1,1,2,3,,
Autosomal dominant polycystic kidney disease,Change: presentation/management,"A 10-year-old boy presents to the pediatrician's office with his mother, who is concerned about her son's recent increase in thirst and urination. The patient has also been experiencing abdominal pain and vomiting. Physical examination reveals a large abdomen and signs of fluid overload. Urinalysis shows red blood cell casts and proteinuria. Imaging studies demonstrate numerous cysts in both kidneys. Genetic testing confirms the diagnosis of autosomal dominant polycystic kidney disease (ADPKD).
Important clinical features:
* Increased thirst and urination
* Abdominal pain and vomiting
* Large abdomen
* Fluid overload signs
* Red blood cell casts and proteinuria in the urine
* Numerous cysts in both kidneys on imaging studies",0,1,0,0,1,1,"A 45-year-old man presents to his primary care physician with a 2-day history of worsening left flank pain. He has a history of autosomal dominant polycystic kidney disease (ADPKD) and has been monitored regularly by his nephrologist. His blood pressure is 140/90 mm Hg, and he has costovertebral angle tenderness. Urinalysis shows pyuria and hematuria. He undergoes imaging studies, which reveal a large renal stone in the left kidney and multiple cysts throughout both kidneys.",1,0,1,0,1,2,"A 10-year-old boy presents to the pediatrician's office with a history of recurrent urinary tract infections and abdominal pain. On physical examination, his blood pressure is elevated at 120/80 mmHg. He has a large, firm abdomen with tenderness to palpation over the left and right costovertebral angles. There is no evidence of nephrolithiasis or other renal masses on ultrasound. His creatinine level is 1.5 mg/dL, and his glomerular filtration rate (GFR) is 90 mL/min/1.73m2. The patient has a family history of autosomal dominant polycystic kidney disease (ADPKD). His father died from complications of end-stage renal disease at the age of 55. Genetic testing confirms the diagnosis of ADPKD. The patient is started on blood pressure medication and is referred to a nephrologist for further management.
The most important clinical features in this vignette are:
* Elevated blood pressure
* Abdominal pain
* Large, firm abdomen with tenderness to palpation over the left and right costovertebral angles
* Family history of ADPKD",1,1,0,1,2,2,"A 45-year-old male presents to his primary care physician with a history of recurrent UTIs and abdominal pain. He also reports fatigue, nausea, and vomiting. The patient has a family history of ADPKD, and his father died from kidney disease at the age of 60. Physical examination reveals costovertebral angle tenderness, and a renal ultrasound shows multiple cysts in both kidneys. Laboratory tests show mild azotemia and microscopic hematuria. The patient is diagnosed with ADPKD and referred to a nephrologist for further management. Important clinical features include: family history, renal cysts, hypertension, and liver cysts.",1,1,0,1,2,2,,
22q11.2 deletion syndrome,Change: presentation/management,"A 4-year-old boy named Max presents to the pediatrician's office for a routine well-child visit. His mother mentions that he has had some difficulty articulating words and has been having trouble with feeding, especially when eating solid foods. Max also has a history of recurrent ear infections and has recently developed a runny nose and cough. On examination, the pediatrician notes that Max has a small head size and widely spaced eyes. He also notices a small hole in the roof of Max's mouth and a short, wide uvula. The pediatrician suspects that Max may have 22q11.2 deletion syndrome and refers him for further testing.",1,1,1,1,2,3,"A 35-year-old woman presents to her primary care physician with a complaint of increasing fatigue and shortness of breath over the past month. She also reports a recent episode of pneumonia that she thought had resolved. On examination, the patient has a low-grade fever, tachycardia, and mild respiratory distress. Her physical examination is otherwise unremarkable. The patient's medical history includes a diagnosis of 22q11.2 deletion syndrome, for which she has been followed by a cardiologist and geneticist since childhood. She has a history of congenital heart disease, specifically a ventricular septal defect that was repaired surgically when she was an infant. She also has a history of developmental delays and intellectual disability. The patient's family history is significant for a similar deletion in her mother, who had a similar presentation in childhood.",1,1,1,1,2,3,"A 3-year-old boy, John, presents to the pediatrician's office for a routine checkup. His parents mention that he has been having difficulty articulating words and has a nasal tone when speaking. On physical examination, the provider notices that John has a short stature and low-set ears. They also observe a small notch in his upper lip and a high-arched palate. The provider orders a hearing test, which reveals mild conductive hearing loss. Further investigation reveals that John has a ventricular septal defect (VSD) and an interrupted aortic arch, both of which are repaired surgically. Genetic testing confirms the diagnosis of 22q11.2 deletion syndrome. John's parents are counseled about the potential for developmental delays and learning difficulties, and they are advised to follow up with speech therapy and special education services.",1,1,1,1,2,3,"A 35-year-old woman presents to her primary care physician with a history of fatigue, shortness of breath, and palpitations. She has a known history of 22q11.2 deletion syndrome and has been followed by cardiology for her congenital heart disease. On examination, she has a height of 5 feet 3 inches, weight of 130 pounds, and BMI of 27. She has a short neck, low-set ears, and a small head. Her face is round with a flat nasal bridge, and her eyes are widely spaced with a prominent forehead. She has a high-arched palate and a bifid uvula. Cardiac examination reveals a grade II/VI systolic murmur at the left lower sternal border. The patient is referred to cardiology for further evaluation, where an echocardiogram shows a ventricular septal defect and mild mitral regurgitation. Genetic testing confirms the diagnosis of 22q11.2 deletion syndrome. The patient is scheduled for surgical repair of her congenital heart disease.
The most important clinical features in this case include:
* Short stature (height of 5 feet 3 inches)
* Low-set ears and small head
* High-arched palate",1,1,0,1,2,2,,
Neurofibromatosis type 1,Change: presentation/management,"A 7-year-old boy named Jack presents to the pediatrician's office for his annual checkup. His mother mentions that he has been complaining of headaches and blurred vision recently. On examination, the patient has a large café-au-lait spot on his left arm and several smaller ones on his trunk and limbs. His vision is normal, but his fundoscopic examination reveals papilledema. The patient's neurological examination is otherwise normal.",1,0,1,0,1,2,"A 35-year-old man presents to his primary care physician with concerns about several small, soft skin nodules that have been growing on his torso and arms over the past few years. He also notices that some of these nodules have become larger and more painful recently. The patient has a history of Neurofibromatosis type 1 (NF1), a genetic disorder that affects the growth and development of nerve tissue, and he is concerned that these nodules may be related to his condition. On examination, the physician notes multiple soft, pedunculated lesions on the patient's skin, consistent with neurofibromas, which are a hallmark of NF1. The patient also has a history of chronic pain and numbness in his hands and feet, as well as difficulty with balance and coordination.

The most important clinical features for this scenario include:

* Multiple soft, pedunculated skin lesions consistent with neurofibromas
* History of NF1
* Chronic pain and numbness in the hands and feet
* Difficulty with balance and coordination.",1,1,0,1,2,2,"A 7-year-old boy presents to the pediatrician's office for his annual checkup. His mother mentions that he has been having trouble with reading and writing, and that he gets easily distracted in class. The child also complains of headaches and blurred vision. On physical examination, the patient has multiple café-au-lait macules on his trunk and limbs, as well as intertriginous freckling in his axillae and inguinal regions. His vision is normal, but he has a mild scoliosis. The patient's neurological examination is normal, except for mild cognitive impairment. Genetic testing confirms the diagnosis of Neurofibromatosis type 1 (NF1).",1,1,1,1,2,3,"A 35-year-old man presents to the clinic with a long history of neurofibromas, café au lait macules, and intertriginous freckling consistent with Neurofibromatosis type 1 (NF1). He has had multiple cutaneous and subcutaneous neurofibromas since his early 20s, which have been gradually increasing in number and size. Recently, he has noticed some pain and discomfort in his left leg, which he attributes to a large plexiform neurofibroma that runs along the sciatic nerve. He also reports occasional headaches and blurred vision. On examination, there are numerous café au lait macules and intertriginous freckling on his skin. Multiple cutaneous and subcutaneous neurofibromas are noted, including a large plexiform neurofibroma in his left leg. His visual acuity is normal, but fundoscopy reveals Lisch nodules in both eyes. He has mild scoliosis and tibial dysplasia. The patient is referred for an MRI to evaluate the plexiform neurofibroma and rule out any other potential causes of his symptoms. Genetic testing confirms the diagnosis of NF1.",1,1,1,1,2,3,,
Fragile X syndrome,Change: presentation/management,"A 10-year-old boy named Max presents to the clinic with his mother due to concerns about his learning and behavior. He has been diagnosed with Fragile X syndrome, a genetic disorder caused by an expansion of a CGG repeat in the FMR1 gene. Max has difficulty with social interactions, language processing, and exhibits repetitive behaviors such as hand flapping and obsessive interests. He also experiences anxiety and hyperactivity. His mother reports that he has been struggling in school and has difficulty making friends. On examination, Max appears disheveled and fidgety, with a flat affect. His speech is halting and he struggles to understand complex questions. He demonstrates difficulty with eye contact and exhibits repetitive behaviors such as hand flapping and rocking.",1,1,0,1,2,2,"A 35-year-old man with intellectual disability, prominent ears, and a long face presents to the clinic for a routine checkup. He has a history of seizures and has been taking anticonvulsants for several years. His speech is halting, and he has difficulty with eye contact. He lives in a group home and has a job at a local sheltered workshop.
The most important clinical features of this patient vignette are:
Intellectual disability
Prominent ears
Long face
History of seizures
Difficulty with speech and eye contact
Current treatment with anticonvulsants",0,0,0,0,0,0,"Patient Vignette: Meet Max, a 5-year-old boy who was recently diagnosed with Fragile X syndrome. Max's parents first noticed delays in his development when he was around 18 months old. He struggled to meet milestones such as sitting, standing, and walking, and by the age of 3, he still wasn't speaking or interacting with others appropriately. Max also displays several behavioral issues, including anxiety, mood swings, and hand flapping. He has a large head, long face, prominent jaw, and macrocephaly. His ears are also larger than average. During his routine check-ups, his doctor noticed that he had mitral valve prolapse and mild dilatation of the ascending aorta. Max's intellectual disability is moderate to severe, and he has difficulty with working memory, executive function, language, mathematics, and visuospatial abilities. He also experiences seizures and has pes planus (flat feet). Max's behavioral problems include hyperactivity, poor eye contact, and autistic-like features such as hand biting and gaze avoidance. His parents have noticed that he is easily excitable and has trouble paying attention, which affects his ability to learn and interact with others.",0,0,0,0,0,0,"A 25-year-old male with a history of developmental delay and intellectual disability presents to the clinic for a routine follow-up appointment. He has a diagnosis of Fragile X syndrome, confirmed by genetic testing. The patient has a characteristic craniofacial appearance, including a large forehead, long face, and prominent jaw. He also has joint laxity and pes planus. The patient has a history of seizures and autism spectrum disorder. On examination, the patient's intellectual disability is evident, and he has difficulty with social interactions and communication. He also displays hyperactive behavior and poor eye contact. The patient's physical examination reveals macrocephaly, scoliosis, and mitral valve prolapse. Family history is positive for a similar condition in his mother and maternal grandfather. Genetic testing confirms the presence of an FMR1 full mutation.

The most important clinical features of this patient's presentation are:

* Developmental delay and intellectual disability
* Characteristic craniofacial appearance
* Joint laxity and pes planus
* Seizures
* Autism spectrum disorder
* Hyperactive behavior
* Poor eye contact
* Macrocephaly
* Scoliosis
* Mitral valve prolapse
* Positive family history",0,0,0,0,0,0,,fix
Retinitis pigmentosa,No change,"A 10-year-old boy presents to the ophthalmology clinic with progressive night blindness and difficulty seeing in dim lighting environments. He has a positive family history of retinitis pigmentosa, and his grandfather had similar symptoms at a young age. On examination, visual acuity is 20/50 in both eyes, and funduscopic examination reveals bone spicule pigmentation and attenuated retinal vessels. Electroretinography (ERG) shows a marked reduction in rod and cone responses. Genetic testing confirms the diagnosis of retinitis pigmentosa.",1,1,1,1,2,3,"A 45-year-old man presents to the ophthalmology clinic with progressive night blindness and peripheral vision loss over the past year. He has a family history of retinitis pigmentosa (RP) and his older brother was diagnosed with the same condition at a similar age. On examination, visual acuity is 20/40 in both eyes, and funduscopic examination reveals bone spicule pigmentation changes and attenuated retinal vessels. Electroretinography (ERG) shows a marked reduction in rod and cone responses. Genetic testing confirms the diagnosis of RP.",1,1,1,1,2,3,"A 7 year old boy presents to the pediatrician's office with complaints of difficulty seeing at night and peripheral vision loss over the past year. He has also noticed that his central vision is not as sharp as it used to be. On examination, he has a visual acuity of 20/50 in both eyes, with a concentric reduction of his visual field. His fundus shows bone spicule pigment deposits and attenuated retinal vessels. The patient's symptoms are consistent with Retinitis Pigmentosa, a slowly progressive but relentless condition that affects the retina and can cause night blindness, peripheral vision loss, and eventual central vision loss. The patient is referred to an ophthalmologist for further evaluation and management of his condition.",1,1,1,1,2,3,"A 45-year-old male presents to the clinic with a long history of progressive night blindness and peripheral visual field loss. He has difficulty navigating in low light environments and has noticed a gradual reduction in his central vision over the past few years. On examination, he has attenuated retinal vessels, waxy optic disc pallor, and bone spicule pigment deposits on fundus examination. His visual acuity is 20/100 and his visual field shows a concentric reduction with a remaining island of central vision. Electroretinography shows reduced responses. The patient is diagnosed with Retinitis Pigmentosa, an inherited retinal degeneration. The patient is counseled on the slowly progressive nature of the disease and the potential for future central vision loss. He is also referred to low vision services for assistance with adapting to his visual impairment.",1,1,1,1,2,3,,
Mucolipidosis type III,No change,"A 4-year-old boy presents to the pediatrician's office with his mother due to a recent development of stiffness in his joints and difficulty walking. The patient has a history of recurrent respiratory infections and has been diagnosed with Mucolipidosis type III, a genetic disorder that affects the nervous system and causes progressive loss of motor skills. On examination, the patient has a weak muscle tone, delayed speech, and difficulty walking due to stiffness in his legs. The most important clinical features for this patient include:

* Muscle weakness and stiffness
* Delayed speech and cognitive development
* Recurrent respiratory infections
* History of Mucolipidosis type III diagnosis
* Progressive loss of motor skills.",1,0,0,0,1,1,"A 35-year-old man presents to the neurology clinic with a 2-year history of progressive cognitive decline, including difficulty with memory, language, and problem-solving. He also experiences frequent falls and has difficulty with coordination and balance. On examination, he has a coarse facial feature, including a prominent forehead, long face, and widely spaced eyes. His speech is slow and slurred, and he has difficulty with fine motor movements, such as buttoning his shirt. He also has mild ataxia and spasticity in his lower limbs. The patient's developmental history reveals that he was previously diagnosed with Mucolipidosis type III, a rare genetic disorder caused by a deficiency of the enzyme mucolipin-1.",1,0,1,0,1,2,"A 7-year-old boy presents to the clinic with a history of progressive hand deformities and restricted range of joint motion, particularly in his shoulders, hips, and fingers. He also complains of bone pain and waddling gait. On examination, he has short stature, mildly coarse facial features, corneal clouding, and mild retinopathy. His heart sounds reveal aortic insufficiency. His ribs, sternum, clavicles, and scapulae are short and thick. He has dysostosis multiplex, premature closure of cranial sutures, J-shaped sella turcica, mandibular prognathism, scoliosis, absence of dens, vertebral beaking, flaring of iliac wings, shallow acetabular fossae, broad metaphyses, short long bones, hand stiffness, claw-hand deformities, carpal tunnel syndrome, soft tissue swelling of interphalangeal joints, and small, irregular carpal bones. His skin is thickened. The patient has mild intellectual disability and learning disabilities. The patient is diagnosed with Mucolipidosis type III (MLIII), a rare genetic disorder that affects the nervous system and causes progressive loss",1,1,1,1,2,3,"A 35-year-old male presents to the clinic with a long history of progressive joint stiffness and pain, particularly in his hands and hips. He has difficulty straightening his fingers and has developed a claw-like deformity. He also experiences waddling gait due to hip dysplasia. The patient has short stature and mild coarsening of facial features. He has a history of cardiac valvular disease and mild intellectual disability. On examination, the patient has short, thick clavicles, wide and slightly short ribs, scoliosis, and shallow acetabular fossae. His hands show soft tissue swelling of interphalangeal joints and small, irregular carpal bones. The patient's skin is thickened, and he has mild retinopathy and hyperopic astigmatism. He also experiences learning disabilities and mental retardation. A diagnosis of Mucolipidosis type IIIα/β is suspected based on the patient's clinical features, and further testing is recommended to confirm the diagnosis.",1,1,1,1,2,3,,
Alpha-1-antitrypsin deficiency,Change: presentation/management,"A 4-year-old boy presents to the pediatrician's office with a history of recurrent respiratory infections and wheezing. He was born at term, and his birth weight was appropriate for gestational age. His developmental milestones have been normal. The child has a history of frequent ear infections and has had pneumonia twice in the past year. Physical examination reveals a healthy-appearing boy with a respiratory rate of 30 breaths per minute, temperature of 98.6°F (37°C), blood pressure of 90/50 mm Hg, and oxygen saturation of 92% on room air. Chest examination reveals a number of rhonchi and wheezes, with good aeration and no signs of consolidation. The child's parents are concerned about his frequent respiratory infections and the fact that he seems to catch every cold that's going around."" They also mention that the child's grandfather died of lung disease at a relatively young age.""",1,1,1,1,2,3,"A 45-year-old male, John, presents to his primary care physician with a 2-year history of progressive shortness of breath and fatigue. He has a history of smoking and works as a construction worker. On examination, his vital signs are normal, but he has a prolonged expiratory phase and wheezing on lung auscultation. His chest X-ray shows diffuse bilateral infiltrates. A blood test reveals a low level of Alpha-1-antitrypsin (AAT) in his blood, confirming the diagnosis of Alpha-1-antitrypsin deficiency.
The most important clinical features in this scenario are:
Prolonged expiratory phase
Wheezing on lung auscultation
Low level of Alpha-1-antitrypsin (AAT) in the blood
Diffuse bilateral infiltrates on chest X-ray.",1,1,0,1,2,2,"A 3-year-old boy presents to the emergency department with fever, cough, and difficulty breathing. He has had recurrent respiratory infections over the past year and his parents have noticed that he gets winded easily when playing. On examination, he is tachypneic and has a prolonged expiration. His chest x-ray shows diffuse bilateral infiltrates. He is diagnosed with pneumonia and started on antibiotics. However, his symptoms persist even after completing the full course of treatment. Further evaluation reveals that he has alpha-1-antitrypsin deficiency (AATD), a genetic disorder that can cause liver and lung disease. His liver function tests are normal, but he has low levels of AAT in his blood. He is referred to a specialist for further management and follow-up.",1,1,1,1,2,3,"Ms. X is a 45-year-old woman who presents to her primary care physician with a long history of smoking (30 pack years) and progressive shortness of breath over the past year. She has also noticed recurrent respiratory infections, fatigue, and weight loss. Physical examination reveals decreased breath sounds at the bases of both lungs and a positive Shwachman-Katz test (a simple blood test used to diagnose AATD). Further testing confirms the diagnosis of alpha-1 antitrypsin deficiency (AATD), specifically the Z-AATD variant. The patient is referred to a pulmonologist for further management, who initiates therapy with intravenous augmentation therapy and counsels her on smoking cessation. The patient is also monitored closely for signs of liver disease, as she has a family history of cirrhosis.",1,1,1,1,2,3,,
Marfan syndrome,Change in presentation related to age,"A 10-year-old boy is brought to the pediatrician's office by his mother due to concerns about his height and arm span. The patient's height is 5 feet 5 inches, and his arm span exceeds his height. He also has a long, thin face with a narrow palpebral fissure. Additionally, he has mitral valve prolapse and myopia. Family history reveals that his father and maternal grandfather have similar features.",1,1,1,1,2,3,"A 35-year-old man named John presents to his primary care physician's office for a routine checkup. He reports no significant medical history but mentions that he has been feeling tired and experiencing shortness of breath recently. On physical examination, John's height is 6 feet 5 inches (196 cm), and his arm span exceeds his height. His fingers are long and thin, and his wrists and ankles are hypermobile. He has a mild pectus excavatum deformity of the chest and a moderate scoliosis curvature of the spine. John's blood pressure is 120/80 mmHg, and his heart rate is 75 beats per minute. The physician suspects Marfan syndrome and refers John to a geneticist for further evaluation and management.",1,1,1,1,2,3,"A 10-year-old boy is brought to the pediatrician's office by his mother, who reports that he has been complaining of blurred vision and headaches. On physical examination, the patient is noted to have long limbs and a tall, thin habitus. His visual acuity is 20/400 in both eyes, and there is evidence of ectopia lentis. The patient also has joint hypermobility and scoliosis. An echocardiogram reveals dilatation of the aortic root and mitral valve prolapse with regurgitation. Genetic testing confirms the diagnosis of Marfan syndrome.",1,1,1,1,2,3,"A 35-year-old man presents to the emergency department with sudden onset of severe chest pain, difficulty breathing and a feeling of impending doom. He has a history of Marfan syndrome and has been followed regularly by his primary care physician and cardiologist for management of his condition. On examination, he is diaphoretic, pale and distressed, with a blood pressure of 80/60 mmHg, tachycardia and tachypnea. Chest examination reveals a systolic murmur along the left sternal border, and bilateral basilar crackles on lung auscultation. The patient's extremities are long and slender with arachnodactyly, and he has pectus excavatum. He is immediately sent for a chest X-ray, which shows widening of the mediastinum and an enlarged aortic root. An echocardiogram confirms the diagnosis of aortic dissection, and the patient is emergently taken to surgery for repair of the aortic aneurysm. Post-operatively, he is monitored closely for signs of myocardial infarction or cardiac failure, and is started on appropriate medications to manage his condition.",1,1,1,1,2,3,,
