Condition,Category,Vignette-Child (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3),Vignette-Adult (No Context),Correctness,Completeness,Conciseness & Clarity,Accuracy,Total (0-2),Total (0-3)
Down syndrome,Change: presentation/management,"John is a 4-year-old boy with Down syndrome who was diagnosed shortly after birth. His parents are concerned about his development, particularly his delayed speech and motor skills. John has a characteristic facial appearance with a small head, upward-slanting eyes, and a flattened nose bridge. He also has a single crease across his palms and a wide space between his first and second toes. John has a congenital heart defect, which is common in children with Down syndrome. He is receiving early intervention services to help with his speech and motor development.",1,1,1,1,2,3,Mary is a 30-year-old woman with Down syndrome who lives with her parents. She has a job at a local grocery store and enjoys spending time with her family and friends. Mary has a mild intellectual disability and relies on her parents for support with daily tasks. She has a history of thyroid problems and is taking medication to manage her thyroid levels. Mary also has a tendency to develop ear infections and requires regular check-ups with her primary care physician.,1,0,1,0,1,2
Romano-Ward syndrome,No change,"Samantha is a 10-year-old girl with Romano-Ward syndrome, a rare genetic disorder that affects the electrical system of the heart. She was diagnosed after her parents noticed that she had been experiencing episodes of fainting and had an irregular heartbeat. Samantha has a family history of sudden cardiac arrest, which prompted her doctors to perform genetic testing. She has been prescribed medication to help regulate her heart rhythm and is advised to avoid strenuous exercise and certain medications that can trigger arrhythmias.",1,0,1,0,1,2,"Mark is a 28-year-old man with Romano-Ward syndrome, a rare genetic disorder that affects the electrical system of the heart. He was diagnosed with the condition after experiencing several episodes of fainting and irregular heartbeat. Mark has a family history of sudden cardiac arrest, which prompted his doctors to perform genetic testing. He has been prescribed medication to help regulate his heart rhythm and is advised to avoid strenuous exercise and certain medications that can trigger arrhythmias.",1,0,1,0,1,2
Autosomal dominant polycystic kidney disease,Change: presentation/management,"Emma is a 7-year-old girl who has been diagnosed with Autosomal dominant polycystic kidney disease (ADPKD), a genetic disorder that causes cysts to develop in the kidneys. Emma has a family history of the condition, and her parents noticed that she had high blood pressure and protein in her urine during a routine check-up. Further tests confirmed the diagnosis of ADPKD, and Emma is being closely monitored by a pediatric nephrologist.",1,0,1,0,1,2,"David is a 45-year-old man who has been diagnosed with Autosomal dominant polycystic kidney disease (ADPKD), a genetic disorder that causes cysts to develop in the kidneys. David has a family history of the condition, and he has been experiencing back pain and frequent urinary tract infections. Further tests confirmed the diagnosis of ADPKD, and David is being closely monitored by a nephrologist.",1,0,1,0,1,2
22q11.2 deletion syndrome,Change: presentation/management,"Mary is a 5-year-old girl with 22q11.2 deletion syndrome. She was diagnosed at birth due to her characteristic facial features, including a small mouth and low-set ears. She also has a heart defect that was repaired at 3 months of age. Mary has delayed speech and language development and has difficulty with fine motor skills such as writing and cutting. She also experiences recurrent ear infections and has a history of feeding difficulties due to her small mouth. Mary's parents report that she has a happy and friendly personality but can become easily overwhelmed in busy or noisy environments. They are concerned about her academic and social development as she prepares to start kindergarten in the fall.",1,0,1,0,1,2,"Sarah is a 28-year-old woman with a history of 22q11.2 deletion syndrome. She was diagnosed with the condition as a child after experiencing recurrent infections and developmental delays. Sarah has a unique facial appearance with a small head and low-set ears, as well as some cognitive and behavioral challenges. Sarah has a history of cardiac abnormalities and has had several surgeries to correct these issues. She also experiences gastrointestinal problems, including frequent vomiting and diarrhea. Sarah has difficulty with social interactions and is prone to anxiety and depression. Despite these challenges, she has a great sense of humor and enjoys spending time with her family and friends.Sarah's medical team monitors her closely for any new cardiac or gastrointestinal issues and provides ongoing support for her mental health. She receives speech and occupational therapy to help with her communication and daily living skills. Overall, Sarah's care team works together to provide comprehensive care for her unique needs.",0,0,1,0,0,1
Neurofibromatosis type 1,Change: presentation/management,"Sarah is a 5-year-old girl who has been diagnosed with Neurofibromatosis type 1 (NF1). She was brought to the clinic by her parents, who noticed multiple café-au-lait spots on her skin and a small lump under her right arm. Upon examination, the doctor also found some small bumps on her skin, called neurofibromas. Sarah's parents reported that she has been experiencing frequent headaches, and the doctor ordered an MRI to check for any abnormalities in her brain. The MRI revealed some small tumors in her brain, which are common in children with NF1. The doctor explained to Sarah's parents that NF1 is a genetic disorder that affects the growth and development of nerve cells, and can cause various complications such as learning disabilities, vision problems, and hearing loss. The doctor recommended regular check-ups to monitor Sarah's condition and manage any symptoms that may arise.",1,1,1,1,2,3,"Emily is a 32-year-old woman who was diagnosed with Neurofibromatosis type 1 (NF1) during her teenage years. She has multiple café-au-lait spots on her skin and has developed several benign tumors on her skin, including a plexiform neurofibroma on her thigh that causes chronic pain and discomfort. Emily has also experienced hearing loss in her left ear and has developed scoliosis. She is concerned about the potential impact of NF1 on her quality of life and is seeking more information about potential treatments to manage her symptoms. Emily's medical team is closely monitoring the growth of her tumors and has recommended physical therapy to help manage her scoliosis and chronic pain. They have also suggested hearing aids to improve her hearing and provided resources for counseling and support groups to address the emotional and social impact of living with NF1.",1,1,1,1,2,3
Fragile X syndrome,Change: presentation/management,"A 4-year-old boy was brought to the pediatrician by his parents due to developmental delays and behavioral issues. The child was born at term with no complications during pregnancy or delivery. However, the parents noticed that he was not meeting developmental milestones, including sitting up, crawling, and walking, on time. He also had delayed language development and showed signs of hyperactivity and attention deficit. Upon physical examination, the child had a long, narrow face with a prominent forehead and ears. His joints were hypermobile, and his muscle tone was low. The pediatrician also noted that the child had a prominent jaw and a high-arched palate. The child's behavior during the examination was irritable and anxious. Given the clinical presentation, the pediatrician suspected Fragile X syndrome, a genetic disorder that causes intellectual disability, developmental delays, and behavioral problems. The pediatrician referred the child for genetic testing, which confirmed the diagnosis of Fragile X syndrome.",1,1,1,1,2,3,"A 30-year-old male with Fragile X syndrome presented to the clinic with symptoms of anxiety and depression. He had a history of delayed development, language and social skills deficits, and attention deficit hyperactivity disorder (ADHD) in childhood. On examination, he had a long face with a prominent jaw and large ears, and his joints were hypermobile. He had a mild intellectual disability with an IQ of 75, and he exhibited social anxiety and avoidance behaviors. Genetic testing confirmed a diagnosis of Fragile X syndrome, which is caused by a mutation in the FMR1 gene. The patient was started on a low dose of an antidepressant medication and referred to a specialized clinic for further management of his condition. It was emphasized that early intervention and management can improve the overall quality of life for individuals with Fragile X syndrome.",1,1,1,1,2,3
Retinitis pigmentosa,No change,"Tommy is a 7-year-old boy who was referred to a pediatric ophthalmologist due to concerns about his vision. His parents noticed that he was having difficulty seeing in dimly lit environments and frequently tripping over objects that he couldn't see. Upon examination, the ophthalmologist noted that Tommy had a progressive loss of peripheral vision, which is a hallmark symptom of Retinitis pigmentosa. Additionally, the ophthalmologist observed that Tommy's retina had characteristic pigment changes, which further confirmed the diagnosis. Tommy's parents were counseled about the progressive nature of the disease and the need for regular follow-up visits to monitor his vision. The ophthalmologist also discussed the potential benefits of low vision aids and provided a referral to a low vision specialist",1,0,1,0,1,2,"John is a 45-year-old man who has been experiencing difficulty seeing in dimly lit areas and has noticed a gradual loss of his peripheral vision over the past few years. He has a family history of vision problems and after a comprehensive eye exam, he was diagnosed with Retinitis Pigmentosa (RP). RP is a genetic disorder that causes the degeneration of the retina, leading to progressive vision loss. John's clinical features include night blindness, tunnel vision, and difficulty with color perception. He is currently being monitored by his ophthalmologist for any further deterioration of his vision and is receiving low vision aids to help him with his daily activities.",1,0,1,0,1,2
Mucolipidosis type III,No change,"Sarah is a 6-year-old girl who has been diagnosed with Mucolipidosis type III. She was born with no apparent health issues, but her parents noticed that she was not meeting her developmental milestones as expected. They also noticed that she had a stiff gait and was not able to run and jump like other children her age. Upon examination, Sarah's doctors noted that she had joint stiffness and limited range of motion in her hips, knees, and ankles. She also had a short stature and a mild facial coarsening. Her hearing and vision were normal, and there were no signs of organ enlargement or dysfunction.Further testing revealed that Sarah had elevated levels of certain enzymes in her blood, which confirmed the diagnosis of Mucolipidosis type III. This rare genetic disorder affects the body's ability to break down certain sugars and fats, leading to the accumulation of substances in the cells and tissues. Sarah's doctors recommended a multidisciplinary approach to manage her condition, including physical therapy to improve her mobility and joint function, growth hormone therapy to address her short stature, and regular monitoring of her organ function. They also advised her parents to seek genetic counseling to understand the risks of passing on the condition to future children.",1,1,1,1,2,3,"Mrs. Johnson is a 32-year-old woman with Mucolipidosis type III. She was diagnosed with the condition at the age of 6, after experiencing delayed milestones and difficulty walking. She has a history of recurrent respiratory infections, hearing loss, and joint stiffness. Mrs. Johnson also has short stature and a barrel-shaped chest. Despite her physical limitations, she is a determined and independent individual who enjoys spending time with her family and friends. She currently receives regular physical therapy and respiratory treatments to manage her symptoms.",1,0,1,0,1,2
Alpha-1-antitrypsin deficiency,Change: presentation/management,"Samantha is a 7-year-old girl who has been experiencing frequent respiratory infections and difficulty breathing for the past few months. Her parents noticed that she has been coughing more frequently, especially at night, and has been feeling tired and fatigued. Samantha's pediatrician ran some tests and found that she has Alpha-1-antitrypsin deficiency, a genetic disorder that affects the liver and lungs. This condition causes a deficiency in the protein alpha-1-antitrypsin, which helps protect the lungs from damage caused by enzymes released during inflammation. Without enough of this protein, the lungs are more susceptible to damage and infections. Samantha's pediatrician has recommended that she receive regular monitoring of her lung function and treatment to manage her symptoms, which may include bronchodilators, corticosteroids, and antibiotics as needed. She may also need to avoid exposure to smoke and other irritants that can further damage her lungs.",1,0,1,0,1,2,"John is a 45-year-old man who has been experiencing shortness of breath and wheezing for several months. He is a non-smoker and has no history of asthma or allergies. He recently underwent pulmonary function tests that revealed obstructive lung disease, and subsequent genetic testing confirmed a diagnosis of Alpha-1-antitrypsin deficiency. Alpha-1-antitrypsin deficiency is a genetic disorder that affects the liver and lungs. It is caused by a deficiency of the alpha-1-antitrypsin protein, which normally protects the lungs from damage caused by enzymes released during inflammation. Without this protein, the lungs are more susceptible to damage from inflammation, leading to chronic obstructive pulmonary disease (COPD) and emphysema. John's diagnosis highlights the importance of genetic testing for patients with unexplained obstructive lung disease, especially if they are non-smokers. Treatment for Alpha-1-antitrypsin deficiency may include medications to manage symptoms, pulmonary rehabilitation, and in severe cases, lung transplantation.",1,1,1,1,2,3
Marfan syndrome,Change in presentation related to age,"Sarah is a 10-year-old girl with Marfan syndrome who presents to the clinic for a routine check-up. She was diagnosed with the condition at age 5 after her parents noticed that she was taller than her peers and had unusually long fingers and limbs. Sarah has a tall stature with a slender build, and her arm span is greater than her height. She also has a high-arched palate, a narrow face, and crowded teeth. During the physical exam, the doctor notes that Sarah has a heart murmur and aortic regurgitation, which are common cardiovascular complications of Marfan syndrome. The doctor orders an echocardiogram to monitor her heart function and recommends regular follow-up appointments with a cardiologist. Sarah's parents express concern about her risk for developing scoliosis and ask about strategies to prevent or manage this complication. The doctor explains that regular monitoring with X-rays and bracing or surgery may be necessary if scoliosis develops. Overall, Sarah is doing well and is able to participate in regular physical activity, but her care team will continue to monitor her closely for any signs of cardiovascular or skeletal complications.",1,1,1,1,2,3,"John is a 35-year-old male who was recently diagnosed with Marfan syndrome. He presents with a tall and thin body habitus, with disproportionately long limbs and fingers. He reports a history of joint pain, particularly in his knees and hips, and has a history of dislocations. On physical exam, John has a high arched palate, crowded teeth, and a chest deformity called pectus excavatum. Additionally, he has a murmur on cardiac exam and his ophthalmologic exam reveals ectopia lentis, or dislocated lenses. John's family history is significant for a brother who also has Marfan syndrome and a father who died suddenly at a young age, possibly due to an aortic aneurysm. John is concerned about his own risk for aortic complications and is seeking further evaluation and management.",1,1,1,1,2,3
